Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
guided,reverse,"reverse the position, order, relation, or condition of",1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,0,,6.2,,513.75,5.7,2.61,3.47,0.06758899242,0.08866171772
guided,reverse,directed or moving toward the rear,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,1,1,2.5,,491.25,4.73,3.02,3.58,0.1721206401,0.1222450334
guided,reverse,of the transmission gear causing backward movement in a motor vehicle,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,1,1,5.11,,413.86,4.05,3.76,2.59,0.1619089821,0.1492761267
guided,reverse,reversed (turned backward) in order or nature or effect,1. to start to happen or to make something happen in the opposite way OR 2. the position of the gears in a vehicle that makes it go backwards,uk.bl.ethos.589190,0,0,,4.22,,438.12,5.18,2.82,3.22,0.3312663056,0.2651979933
guided,come,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,1,1,3,1.38,437.25,5.66,4.12,2.68,-0.01930804375,0.02207297862
guided,come,"move toward, travel toward something or somebody or approach something or somebody",[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,1,1,4.75,1.23,468,3.92,2.83,2.92,0.1666305496,0.2424269675
guided,come,reach a destination; arrive by movement or progress,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,1,5.12,6.06,560.83,4.31,3.3,3.17,0.2766078819,0.2213499948
guided,come,"come to pass; arrive, as in due course",[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,2,2.56,564.17,4.52,3.24,3.48,0.2819629349,0.1844145863
guided,come,"reach or enter a state, relation, condition, use, or position",[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,4.9,0,546.09,5.71,2.86,3.41,0.1254919378,0.1544470856
guided,come,to be the product or result,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,4.75,0,442.5,4.47,3.51,3.1,0.1390981823,0.1347793862
guided,come,be found or available,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,3,0,431.5,3.63,2.32,3.72,0.2346413881,0.1999153644
guided,come,come forth,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,1,0,,483.5,5.65,2.55,2.5,0.3249804378,0.1675886959
guided,come,be a native of,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,6.33,0,568,4.21,3.03,2.58,0.03465831652,0.05750379339
guided,come,extend or reach,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,4,0,534,3.36,3.32,2.16,0.2636216655,0.2801030651
guided,come,exist or occur in a certain point in a series,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,5.2,0,493.8,4.03,2.44,3.09,0.2311470672,0.221510835
guided,come,cover a certain distance,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,1,3.25,0,483,3.1,3.03,2.8,0.05313155676,0.1582869068
guided,come,"come under, be classified or included",[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,3.2,0,518,5.37,2.36,3.31,0.0733252503,0.0916011082
guided,come,happen as a result,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,1,0,0,4.25,0,402.5,3.63,2.32,2.2,0.3813440278,0.3637393862
guided,come,add up in number or quantity,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,5.17,6.27,406,5.03,3.09,3.52,0.06815947158,0.1545501699
guided,come,develop into,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,1,0,577,6.29,1.87,2.45,0.1830917895,0.22197707
guided,come,be received,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,2,0,361,6.4,2.67,1.9,0.1970334947,0.2641820014
guided,come,come to one's mind; suggest itself,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,3,0,484.5,4.14,2.75,3.34,0.1273639053,0.2300772866
guided,come,"come from; be connected by a relationship of blood, for example",[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,4.29,0,545.14,4.52,3.22,2.95,0.01369158342,0.0887795547
guided,come,proceed or get along,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,3.25,0,506,4.19,2.36,2.28,0.3736637036,0.3351298769
guided,come,experience orgasm,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,1,1,7,5.49,492,4.35,2.88,3,0.07930775173,0.1186131798
guided,come,have a certain priority,[intransitive] to move or travel to the place where you are,uk.bl.ethos.589191,0,0,0,5,0,421,2.82,1.72,3.23,0.07192435721,0.1398016438
guided,shock,the feeling of distress and disbelief that you have when something bad happens accidentally,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,0,0,3.71,2.29,466.86,4.37,1.91,3.07,0.1720174812,0.2550352045
guided,shock,the violent interaction of individuals or groups entering into combat,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,5,2.13,475,5.35,3.44,2.97,0.01584032031,0.04387733992
guided,shock,a reflex response to the passage of electric current through the body,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,5.38,2.23,497.67,4.44,3.57,2.64,0.137155865,0.159403866
guided,shock,(pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,1,1,1,3.18,0.82,509.71,4.44,2.99,3.21,0.09674579635,0.1359474467
guided,shock,an instance of agitation of the earth's crust,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,7.4,0.2,395.8,4.8,3.42,3.24,0.04601427389,0.04073041398
guided,shock,an unpleasant or disappointing surprise,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,0,0,4,0.3,419.33,4.14,2.32,3.77,0.3617469271,0.4009087384
guided,shock,a pile of sheaves of grain set on end in a field to dry; stalks of Indian corn set up in a field,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,5.74,1.03,493,3.31,4.06,2.92,-0.001639373971,0.02578394773
guided,shock,a bushy thick mass (especially hair),[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,3.33,0.3,464.43,5.16,3.49,3.63,0.006534420373,0.09302112088
guided,shock,a sudden jarring impact,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,4,0.3,520.67,4,2.34,3.18,0.3741464218,0.3162338634
guided,shock,a mechanical damper; absorbs energy of sudden impulses,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,4.71,3.07,535.17,4.45,2.87,3.85,0.2221754864,0.1891425028
guided,shock,surprise greatly; knock someone's socks off,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,0,0,3.33,0,521.17,4.17,3.27,3.87,0.2162977237,0.2013748942
guided,shock,strike with disgust or revulsion,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,0,0,4.75,0,457.67,3.27,2.77,3.04,0.2832781325,0.3270867666
guided,shock,strike with horror or terror,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,0,0,5.25,0,452.67,4.31,3,2.24,0.251652961,0.2143458625
guided,shock,collide violently,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,0,0,316.5,6.6,2.95,3.42,0.1904146746,0.1733435318
guided,shock,collect or gather into shocks,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,3.5,3.57,455.33,5.63,3.36,3.02,-0.04350347444,-0.02205507271
guided,shock,subject to electrical shocks,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,1,1,1,5.32,433.33,5.17,3.51,3.11,0.1114705577,0.1072261482
guided,shock,inflict a trauma upon,[countable] [usually singular] something that happens unexpectedly and makes you feel very surprised and upset,uk.bl.ethos.589192,0,0,0,6.33,0,493.33,4.01,2.77,2.65,0.2130759271,0.2326235722
guided,attack,(military) an offensive against an enemy (using weapons),the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,1,1,6.14,1.86,471.25,5.33,2.98,3.36,0.2549841791,0.262462233
guided,attack,an offensive move in a sport or game,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,,1,5.25,0.36,429,3.76,3.33,2.47,0.177124483,0.2245634738
guided,attack,intense adverse criticism,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,0,0,1.67,2.62,559.67,4.56,2.24,2.47,0.1571718132,0.1452267741
guided,attack,ideas or actions intended to deal with a problem or situation,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,0,0,6,0.34,517.83,4.56,2.36,3.21,0.09341706149,0.1354358904
guided,attack,the act of attacking,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,,,4,0.6,469.5,5.17,2.46,4.14,0.399573721,0.3869548291
guided,attack,a decisive manner of beginning a musical tone or phrase,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,1,0,0,5.56,0.55,508.83,3.53,2.66,2.45,0.04865224411,0.09330473328
guided,attack,a sudden occurrence of an uncontrollable condition,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,0,0,4.83,0.6,531.5,4.47,2.22,3.3,0.1166529744,0.1472125724
guided,attack,the onset of a corrosive or destructive process (as by a chemical agent),the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,1,1,4.91,0.57,493.88,5.16,3,3.27,0.06964477307,0.08260044238
guided,attack,strong criticism,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,0,0,2.5,2.62,471,6.35,2.6,2.89,0.174336195,0.1490296572
guided,attack,launch an attack or assault on; begin hostilities or start warfare with,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,1,1,1,5.9,0,479,5.4,3.05,3.52,0.2561546347,0.2167055681
guided,attack,attack in speech or writing,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,0,0,5,0,464,4.76,3.59,2.73,0.06881744368,0.06685521129
guided,attack,take the initiative and go on the offensive,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,0,0,3.8,0,499.25,3.24,2.58,2.7,0.1752386168,0.190970283
guided,attack,attack someone physically or emotionally,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,1,0,1,3,,466.75,5.18,2.9,3.18,0.06896349415,0.1183278337
guided,attack,set to work upon; turn one's energies vigorously to a task,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,1,0,0,3.5,0,471.5,4.87,3.2,3.23,0.05885653739,0.07000014017
guided,attack,begin to injure,the act of using weapons against an enemy in a war,https://aclanthology.org/2024.lrec-main.982/,0,0,1,1.5,1.46,378,4.37,3.02,3.02,0.1421557572,0.1121960022
guided,grasp,understanding of the nature or meaning or quality or magnitude of something,To seize and hold firmly with one.s hands,http://hdl.handle.net/10871/40319,0,0,0,6,0.63,524.67,3.23,2.19,3.12,0.1663651417,0.2207615934
guided,grasp,the limit of capability,To seize and hold firmly with one.s hands,http://hdl.handle.net/10871/40319,0,0,0,5,0.6,539.5,5.37,2.1,2.04,0.1213329211,0.1009819787
guided,grasp,an intellectual hold or understanding,To seize and hold firmly with one.s hands,http://hdl.handle.net/10871/40319,0,0,0,5,0.4,489,3.98,2.47,2.93,0.3470685035,0.3149529546
guided,grasp,the act of grasping,To seize and hold firmly with one.s hands,http://hdl.handle.net/10871/40319,0,0,,7,4.65,599,3.98,2.86,4.09,0.3768190928,0.3985785544
guided,grasp,hold firmly,To seize and hold firmly with one.s hands,http://hdl.handle.net/10871/40319,0,1,1,1,0,533,5.4,3,2.9,0.395834133,0.2298275307
guided,grasp,get the meaning of something,To seize and hold firmly with one.s hands,http://hdl.handle.net/10871/40319,0,0,0,3,0,530.67,2.88,2.02,3.49,0.2315404291,0.2293383777
guided,goal,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it,the net or structure that you try to get the ball into in games such as football and basketball,DOI: 10.1075/ijolc.21051.cho,0,0,0,4.54,1.14,530.5,5.01,2.48,3.61,0.2113971592,0.1457430843
guided,goal,the place designated as the end (as of a race or journey),the net or structure that you try to get the ball into in games such as football and basketball,DOI: 10.1075/ijolc.21051.cho,0,,1,5.11,0.74,437.43,5.49,3.04,3.48,0.1349793851,0.1333031312
guided,goal,game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points,the net or structure that you try to get the ball into in games such as football and basketball,DOI: 10.1075/ijolc.21051.cho,1,1,1,5.47,2.38,501.14,4.91,3.66,3.22,0.2288008633,0.2229993809
guided,goal,a successful attempt at scoring,the net or structure that you try to get the ball into in games such as football and basketball,DOI: 10.1075/ijolc.21051.cho,0,0,1,4,0.6,455,4.39,2.38,2.67,0.3823853781,0.2886989862
guided,view,a way of regarding situations or topics etc.,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,0,0,6.33,0.77,420.6,4.9,2.05,3.22,0.1720373698,0.1748071149
guided,view,the visual percept of a region,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,1,1,5,2.71,485.67,4.1,2.67,3.52,0.2315406588,0.19231912
guided,view,the act of looking or seeing or observing,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,1,1,6.83,1.07,448.25,5.14,3.09,3.14,0.2995439512,0.1841128431
guided,view,the range of the eye,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,1,1,5,0.4,443.5,5.72,4.06,2.64,0.2440887913,0.1807108521
guided,view,a personal belief or judgment that is not founded on proof or certainty,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,0,0,4.42,1.09,469.33,5.11,1.87,3.58,0.08115480716,0.1614011899
guided,view,a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,0,0,4.2,1.11,475.62,4.56,2.19,3.64,0.1165150106,0.1972826875
guided,view,purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of',".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,0,0,6.29,1.25,514.42,4.61,2.16,2.67,0.08004065752,0.1365632899
guided,view,graphic art consisting of the graphic or photographic representation of a visual percept,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,1,1,1,3.4,1.54,563.25,4.68,2.93,3.03,0.1857634736,0.1843891228
guided,view,the range of interest or activity that can be anticipated,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,0,0,3.71,0,450.75,4.95,2.58,2.7,0.128825957,0.172012914
guided,view,outward appearance,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,1,1,2,5.81,511,4.28,2.68,3.6,0.1839126162,0.1237610206
guided,view,deem to be,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,0,0,2,2.71,594,3.35,2.1,3.17,0.2492571473,0.2707458138
guided,view,look at carefully; study mentally,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,0,1,1.6,0,484.6,4.2,2.68,3.35,0.203505801,0.1590765072
guided,view,see or watch,".view. here is a physical one, as one can view, for example, a film or a house",DOI: 10.1075/ijolc.21051.cho,0,1,1,3.67,6.98,454.5,4.32,3.91,2.75,0.4466622472,0.3271793425
guided,course,education imparted in a series of lessons or meetings,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,0,1,6.38,1.08,547.25,5.5,3.05,2.13,0.2370334804,0.2258300185
guided,course,a connected series of events or actions or developments,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,0,0,6.38,0.26,521.2,4.36,2.71,2.36,0.1308992378,0.1653772771
guided,course,general line of orientation,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,0,0,8,0.43,415.67,3.79,2.85,3.94,0.186777031,0.141309491
guided,course,a mode of action,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,0,0,7,0.73,585,4.12,2.66,2.32,0.164583642,0.236636281
guided,course,a line or route along which something travels or moves,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,1,1,0,4.38,2.27,535.83,4.58,3.21,3.27,0.1851862222,0.1719438148
guided,course,a body of students who are taught together,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,1,0,1,6.29,0.98,536.5,4.4,3.66,2.77,0.1251007561,0.1458336869
guided,course,part of a meal served at one time,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,1,1,4.29,3.22,425.2,5.32,3.74,2.85,0.1285349026,0.2063848406
guided,course,(construction) a layer of masonry,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,0,1,6.5,1.04,497.8,5.09,3.69,3.2,0.04063291848,0.07992095997
guided,course,facility consisting of a circumscribed area of land or water laid out for a sport,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,1,1,5,1.47,460.62,4.79,3.67,3.02,0.0934988372,0.1326497206
guided,course,move swiftly through or over,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,0,,1.8,0,525,4.35,2.77,2.27,0.0525317993,0.09127864987
guided,course,"move along, of liquids",an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,1,1,2.33,0,465.25,5.07,3.37,2.86,0.08562225177,0.07621583909
guided,course,hunt with hounds,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,1,1,2.5,0,578,4.53,3.81,1.18,0.07069359347,0.1348871514
guided,course,as might be expected,an area of land or water where a race takes place,DOI: 10.1075/ijolc.21051.cho,0,0,0,3.25,,487.5,6.08,2.32,2.23,0.08585043624,0.135758318
guided,life,a characteristic state or mode of living,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,0,0,6.5,1.63,504.25,4.13,2.85,2.16,0.1790429521,0.1720079128
guided,life,the experience of being alive; the course of human events and activities,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,1,1,5.57,0.85,524.57,4.55,3.18,3.9,0.2116490956,0.2010201005
guided,life,the course of existence of an individual; the actions and events that occur in living,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,0,1,4.44,1.31,494,4.12,2.76,2.76,0.2137744964,0.1772942479
guided,life,the condition of living or the state of being alive,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,0,1,5.33,3.86,473.25,5.32,2.96,2.61,0.2880791575,0.2231785525
guided,life,the period during which something is functional (as between birth and death),period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,1,0,5.14,0.97,477.71,4.41,3.17,3.4,0.1843171094,0.2167801306
guided,life,the period between birth and the present time,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,1,1,2.4,1.9,463.25,4.98,3.56,3.29,0.1877503954,0.2025302313
guided,life,the period from the present until death,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,1,1,5.33,0.3,437.33,4.25,3.48,3.13,0.2205806623,0.2081724356
guided,life,a living person,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,1,1,6.67,0.27,426.5,5.25,3.88,2.3,0.3515458778,0.3099761605
guided,life,animation and energy in action or expression,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,0,0,5.67,1.39,443.25,5.13,2.98,2.78,0.1355846804,0.1063582301
guided,life,living things collectively,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,0,1,3,0,394.67,4.46,2.84,2.7,0.217447767,0.2208299612
guided,life,the organic phenomenon that distinguishes living organisms from nonliving ones,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,1,1,2.86,1.39,482.43,4.57,3.14,2.83,0.2012362501,0.1720535329
guided,life,an account of the series of events making up a person's life,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,1,1,6,1.09,464.29,5.13,3.07,3.14,0.1082822703,0.1468637332
guided,life,a motive for living,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,0,0,5,2.3,444.5,4.32,2.27,1.82,0.2831006678,0.249011647
guided,life,a prison term lasting as long as the prisoner lives,period between somebody.s birth and death,https://doi.org/10.5539/ells.v10n3p62,0,0,0,6.11,1.55,472.5,4.41,3.3,3.28,0.1867196083,0.2163905919
guided,good,benefit,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,1,,546,3.15,2.25,1.36,0.1865499318,0.1993017942
guided,good,moral excellence or admirableness,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,1,0,1,5.75,1.52,532.33,3.15,1.86,3.85,0.1181697547,0.1972409114
guided,good,that which is pleasing or valuable or useful,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,1,0,3.17,0,514,5.43,2.31,2.62,0.3650877774,0.3992140889
guided,good,articles of commerce,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,1,1,10,0,552,3.43,2.76,3.42,0.05300257169,0.06187880784
guided,good,having desirable or positive qualities especially those suitable for a thing specified,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,2.9,,478.57,3.91,2.15,3.82,0.1878171148,0.2852276489
guided,good,having the normally expected amount,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,3.25,,475.67,4.32,2.28,2.12,0.04123638694,0.1253498544
guided,good,morally admirable,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,1,0,,577,2.58,1.6,2.36,0.2580714673,0.2761809304
guided,good,deserving of esteem and respect,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,3.67,,511.67,5.36,1.83,3.33,0.1315669194,0.2155819535
guided,good,promoting or enhancing well-being,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,5.25,,484.67,6.06,,2.69,0.1070077196,0.1727774292
guided,good,agreeable or pleasing,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,3.33,,476.5,4.88,2.32,3.24,0.4335739166,0.4220671207
guided,good,of moral excellence,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,1,4.5,,543.5,2.74,1.94,4.37,0.1024591401,0.1972409114
guided,good,having or showing knowledge and skill and aptitude,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,1,0,4.33,,546.75,5.22,2.12,3.26,0.08859671839,0.1921777651
guided,good,thorough,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,0,,456,5.46,1.66,3.1,0.1715142727,0.2089732885
guided,good,with or in a close or intimate relationship,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,5.29,,374.67,3.85,2.69,1.89,0.04737512332,0.1649229899
guided,good,financially sound,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,0,,479,4.81,3.02,2,0.08378906921,0.195020318
guided,good,most suitable or right for a particular purpose,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,3.14,,537.25,4.2,2.29,2.98,0.1780918068,0.2516434938
guided,good,resulting favorably,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,0.5,,515.5,5.46,1.9,2.49,0.09829575382,0.1196897924
guided,good,exerting force or influence,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,3.75,,540.33,4.17,2.56,3.68,0.04861879194,0.07649942487
guided,good,capable of pleasing,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,4.5,,548,5.94,2.38,2.38,0.347982347,0.36903207
guided,good,appealing to the mind,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,2.5,,473.5,4.59,2.34,3.73,0.1505872309,0.2184034884
guided,good,in excellent physical condition,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,1,1,2.75,,524.33,4.11,2.52,2.86,0.2708647574,0.3335109353
guided,good,tending to promote physical well-being; beneficial to health,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,1,0,2.67,,516.43,4.5,2.32,2.99,0.1458354511,0.2108004451
guided,good,not forged,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,1,1,1,1,,546,6.09,3.22,3,0.04794449732,0.1016539559
guided,good,not left to spoil,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,1,1,4.67,,412,4.05,3.26,1.3,0.05705399811,0.1986129731
guided,good,generally admired,it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,0,,490,4.1,1.74,2.8,0.1007100083,0.2285331413
guided,good,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,4.52,,494.74,5.27,2.37,2.96,0.1320226872,0.1765341512
guided,good,completely and absolutely (`good' is sometimes used informally for `thoroughly'),it is most suitable or right for a particular purpose,https://doi.org/10.5539/ells.v10n3p63,0,0,0,0.29,,503.15,5.26,2,2.92,0.05178767544,0.1661249436
guided,track,a line or route along which something travels or moves,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,0,0,4.38,2.27,535.83,4.58,3.21,3.27,0.1924833255,0.1508184013
guided,track,evidence pointing to a possible solution,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,0,0,4,0.6,535.75,4.82,2.97,2.17,0.06651251286,0.09607907571
guided,track,a pair of parallel rails providing a runway for wheels,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,6.25,1.42,468.4,5.98,3.8,3.25,0.2046959779,0.1630558036
guided,track,a course over which races are run,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,6.33,0.52,530.67,6.05,3.91,3.72,0.3718008598,0.3139230013
